OrderID,Date,Product,Quantity,Price,Category,Total
1,2023-04-13,Monitor,2,3400,Elektronik,6800
2,2023-12-15,Telefon,2,3775,Elektronik,7550
3,2023-09-28,Laptop,2,3154,Elektronik,6308
4,2023-04-17,Kulaklık,3,2243,Aksesuar,6729
5,2023-03-13,Tablet,3,1411,Elektronik,4233
6,2023-07-08,Kulaklık,3,3291,Aksesuar,9873
7,2023-01-21,Kulaklık,4,2638,Aksesuar,10552
8,2023-04-13,Telefon,1,4083,Elektronik,4083
9,2023-05-02,Tablet,3,4647,Elektronik,13941
10,2023-08-03,Kulaklık,1,264,Aksesuar,264
11,2023-11-27,Laptop,4,4377,Elektronik,17508
12,2023-03-29,Laptop,2,922,Elektronik,1844
13,2023-04-10,Mouse,3,1043,Aksesuar,3129
14,2023-12-26,Tablet,1,4525,Elektronik,4525
15,2023-06-01,Tablet,1,874,Elektronik,874
16,2023-05-11,Mouse,3,2298,Aksesuar,6894
17,2023-05-30,Kulaklık,2,3256,Aksesuar,6512
18,2023-11-05,Tablet,2,4342,Elektronik,8684
19,2023-09-15,Laptop,2,3795,Elektronik,7590
20,2023-12-10,Laptop,4,3552,Elektronik,14208
21,2023-10-21,Telefon,1,1014,Elektronik,1014
22,2023-07-11,Tablet,1,1408,Elektronik,1408
23,2023-10-04,Kulaklık,1,4277,Aksesuar,4277
24,2023-06-10,Mouse,4,613,Aksesuar,2452
25,2023-11-10,Mouse,1,2020,Aksesuar,2020
26,2023-01-22,Kulaklık,4,3694,Aksesuar,14776
27,2023-09-10,Monitor,2,4941,Elektronik,9882
28,2023-08-24,Klavye,3,1509,Aksesuar,4527
29,2023-12-11,Telefon,1,4902,Elektronik,4902
30,2023-02-18,Mouse,1,4666,Aksesuar,4666
31,2023-02-28,Tablet,2,3290,Elektronik,6580
32,2023-06-19,Telefon,3,4591,Elektronik,13773
33,2023-07-07,Tablet,4,1655,Elektronik,6620
34,2023-09-28,Monitor,3,904,Elektronik,2712
35,2023-07-09,Laptop,2,1379,Elektronik,2758
36,2023-06-24,Telefon,2,3677,Elektronik,7354
37,2023-02-20,Mouse,3,3001,Aksesuar,9003
38,2023-12-30,Telefon,4,1487,Elektronik,5948
39,2023-02-24,Telefon,4,4788,Elektronik,19152
40,2023-09-01,Telefon,1,2861,Elektronik,2861
41,2023-11-16,Klavye,4,2779,Aksesuar,11116
42,2023-05-11,Telefon,3,2206,Elektronik,6618
43,2023-11-03,Tablet,2,4323,Elektronik,8646
44,2023-05-15,Laptop,1,4931,Elektronik,4931
45,2023-01-21,Monitor,1,2868,Elektronik,2868
46,2023-11-25,Kulaklık,2,4053,Aksesuar,8106
47,2023-06-16,Telefon,4,3286,Elektronik,13144
48,2023-10-01,Mouse,2,3380,Aksesuar,6760
49,2023-03-30,Telefon,4,2673,Elektronik,10692
50,2023-11-12,Mouse,2,4716,Aksesuar,9432
51,2023-01-14,Tablet,3,2699,Elektronik,8097
52,2023-08-30,Mouse,4,4133,Aksesuar,16532
53,2023-09-22,Kulaklık,3,336,Aksesuar,1008
54,2023-12-12,Laptop,1,1404,Elektronik,1404
55,2023-02-22,Mouse,2,3530,Aksesuar,7060
56,2023-12-06,Mouse,1,1401,Aksesuar,1401
57,2023-04-02,Laptop,1,2641,Elektronik,2641
58,2023-09-21,Kulaklık,1,2151,Aksesuar,2151
59,2023-02-04,Telefon,1,541,Elektronik,541
60,2023-07-25,Mouse,2,2176,Aksesuar,4352
61,2023-03-22,Laptop,1,3280,Elektronik,3280
62,2023-02-19,Tablet,2,2757,Elektronik,5514
63,2023-12-26,Laptop,2,3898,Elektronik,7796
64,2023-01-02,Tablet,3,904,Elektronik,2712
65,2023-02-23,Kulaklık,4,174,Aksesuar,696
66,2023-04-16,Telefon,4,2275,Elektronik,9100
67,2023-09-17,Laptop,2,4024,Elektronik,8048
68,2023-11-06,Monitor,3,2189,Elektronik,6567
69,2023-07-10,Monitor,2,140,Elektronik,280
70,2023-08-06,Klavye,2,2181,Aksesuar,4362
71,2023-02-13,Mouse,2,4783,Aksesuar,9566
72,2023-06-11,Kulaklık,3,1722,Aksesuar,5166
73,2023-07-21,Laptop,4,441,Elektronik,1764
74,2023-09-27,Monitor,3,4152,Elektronik,12456
75,2023-12-17,Mouse,1,2174,Aksesuar,2174
76,2023-10-31,Monitor,3,745,Elektronik,2235
77,2023-09-28,Laptop,3,4926,Elektronik,14778
78,2023-08-03,Tablet,3,4363,Elektronik,13089
79,2023-09-09,Laptop,3,709,Elektronik,2127
80,2023-07-09,Klavye,4,554,Aksesuar,2216
81,2023-10-23,Laptop,1,3053,Elektronik,3053
82,2023-08-01,Laptop,4,1808,Elektronik,7232
83,2023-07-27,Klavye,4,3572,Aksesuar,14288
84,2023-08-25,Kulaklık,3,3069,Aksesuar,9207
85,2023-12-04,Laptop,2,3128,Elektronik,6256
86,2023-02-22,Klavye,2,4897,Aksesuar,9794
87,2023-10-07,Mouse,4,2781,Aksesuar,11124
88,2023-08-05,Tablet,4,3729,Elektronik,14916
89,2023-09-09,Tablet,3,4325,Elektronik,12975
90,2023-07-07,Laptop,4,3167,Elektronik,12668
91,2023-02-10,Kulaklık,3,1486,Aksesuar,4458
92,2023-06-06,Kulaklık,2,3876,Aksesuar,7752
93,2023-01-15,Mouse,2,2966,Aksesuar,5932
94,2023-10-28,Laptop,1,4888,Elektronik,4888
95,2023-03-06,Tablet,2,3463,Elektronik,6926
96,2023-12-11,Kulaklık,4,4989,Aksesuar,19956
97,2023-11-23,Laptop,2,4224,Elektronik,8448
98,2023-01-09,Monitor,3,248,Elektronik,744
99,2023-12-10,Kulaklık,2,3950,Aksesuar,7900
100,2023-05-09,Klavye,1,2158,Aksesuar,2158
101,2023-05-16,Monitor,2,1236,Elektronik,2472
102,2023-03-04,Kulaklık,3,286,Aksesuar,858
103,2023-05-19,Tablet,3,2954,Elektronik,8862
104,2023-03-22,Telefon,4,1350,Elektronik,5400
105,2023-06-12,Monitor,2,1433,Elektronik,2866
106,2023-10-16,Mouse,3,4293,Aksesuar,12879
107,2023-09-18,Mouse,1,4250,Aksesuar,4250
108,2023-08-19,Tablet,4,2811,Elektronik,11244
109,2023-02-10,Kulaklık,1,4953,Aksesuar,4953
110,2023-01-28,Laptop,2,4601,Elektronik,9202
111,2023-05-15,Kulaklık,2,1885,Aksesuar,3770
112,2023-07-20,Tablet,2,850,Elektronik,1700
113,2023-11-24,Mouse,4,1862,Aksesuar,7448
114,2023-09-25,Kulaklık,3,4020,Aksesuar,12060
115,2023-02-02,Mouse,4,4560,Aksesuar,18240
116,2023-02-17,Monitor,1,581,Elektronik,581
117,2023-03-03,Laptop,4,253,Elektronik,1012
118,2023-08-04,Monitor,1,1624,Elektronik,1624
119,2023-10-20,Mouse,4,2220,Aksesuar,8880
120,2023-04-09,Mouse,3,2443,Aksesuar,7329
121,2023-06-21,Telefon,1,1340,Elektronik,1340
122,2023-12-26,Telefon,2,160,Elektronik,320
123,2023-08-02,Monitor,2,1038,Elektronik,2076
124,2023-02-04,Klavye,4,1739,Aksesuar,6956
125,2023-08-15,Monitor,2,4220,Elektronik,8440
126,2023-04-11,Telefon,1,4326,Elektronik,4326
127,2023-05-11,Mouse,2,3669,Aksesuar,7338
128,2023-09-14,Tablet,3,1352,Elektronik,4056
129,2023-01-05,Monitor,3,4303,Elektronik,12909
130,2023-08-06,Mouse,4,271,Aksesuar,1084
131,2023-09-12,Tablet,1,1558,Elektronik,1558
132,2023-12-25,Tablet,3,3649,Elektronik,10947
133,2023-10-10,Telefon,3,4297,Elektronik,12891
134,2023-07-26,Monitor,1,2422,Elektronik,2422
135,2023-01-15,Kulaklık,2,1736,Aksesuar,3472
136,2023-12-12,Laptop,2,3215,Elektronik,6430
137,2023-02-11,Telefon,4,4190,Elektronik,16760
138,2023-06-28,Telefon,2,3104,Elektronik,6208
139,2023-03-04,Kulaklık,1,429,Aksesuar,429
140,2023-12-18,Laptop,3,3740,Elektronik,11220
141,2023-08-19,Mouse,2,3994,Aksesuar,7988
142,2023-08-29,Klavye,4,4207,Aksesuar,16828
143,2023-02-21,Monitor,2,1441,Elektronik,2882
144,2023-04-06,Klavye,1,3763,Aksesuar,3763
145,2023-08-10,Mouse,4,315,Aksesuar,1260
146,2023-08-19,Telefon,2,438,Elektronik,876
147,2023-08-25,Laptop,4,4162,Elektronik,16648
148,2023-05-23,Telefon,1,2808,Elektronik,2808
149,2023-06-20,Tablet,3,3252,Elektronik,9756
150,2023-01-29,Telefon,1,1850,Elektronik,1850
151,2023-02-05,Telefon,1,2521,Elektronik,2521
152,2023-01-13,Mouse,1,809,Aksesuar,809
153,2023-06-09,Mouse,1,3826,Aksesuar,3826
154,2023-11-23,Mouse,3,3742,Aksesuar,11226
155,2023-07-06,Klavye,3,4093,Aksesuar,12279
156,2023-08-31,Tablet,4,588,Elektronik,2352
157,2023-03-27,Mouse,2,146,Aksesuar,292
158,2023-10-11,Laptop,3,3459,Elektronik,10377
159,2023-03-07,Klavye,3,4973,Aksesuar,14919
